START DATE,END DATE,SUBJECT,START TIME (PT),START TIME (MT),START TIME (CT),START TIME (ET),END TIME (PT),END TIME (MT),END TIME (CT),END TIME (ET),SHOW TIME AS,DESCRIPTION,,,,AWAY,HOM E
10/14/2012,10/14/2012,NBA: Clippers @ Heat     [NBATV],8:00 AM,8:00 AM,8:00 AM,8:00 AM,8:00 PM,8:00 PM,8:00 PM,8:00 PM,FREE,www.MySportsCal.com,Clippers @ Heat,LA Clippers at Miami,[NBATV],Clippers , Heat
10/11/2012,10/11/2012,NBA: Heat @ Clippers     [NBATV],4:30 AM,5:30 AM,6:30 AM,7:30 AM,6:30 AM,7:30 AM,8:30 AM,9:30 AM,FREE,www.MySportsCal.com,Heat @ Clippers,Miami at LA Clippers,[NBATV],Heat , Clippers
10/25/2012,10/25/2012,NBA: Bucks @ Bobcats     ,8:00 AM,9:00 AM,10:00 AM,11:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,FREE,www.MySportsCal.com,Bucks @ Bobcats,Milwaukee at Charlotte,,Bucks , Bobcats
12/25/2012,12/25/2012,NBA: Celtics @ Nets     [ESPN],9:00 AM,10:00 AM,11:00 AM,12:00 PM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,FREE,www.MySportsCal.com,Celtics @ Nets,Boston at Brooklyn,[ESPN],Celtics , Nets
10/7/2012,10/7/2012,NBA: Celtics @ Milano     [NBATV],9:00 AM,10:00 AM,11:00 AM,12:00 PM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,FREE,www.MySportsCal.com,Celtics @ Milano,Boston at Milano,[NBATV],Celtics , Milano
11/4/2012,11/4/2012,NBA: 76ers @ Knicks     ,9:00 AM,10:00 AM,11:00 AM,12:00 PM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,FREE,www.MySportsCal.com,76ers @ Knicks,Philadelphia at New York,,76ers , Knicks
1/13/2013,1/13/2013,NBA: Hornets @ Knicks     ,9:00 AM,10:00 AM,11:00 AM,12:00 PM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,FREE,www.MySportsCal.com,Hornets @ Knicks,New Orleans at New York,,Hornets , Knicks
11/18/2012,11/18/2012,NBA: Pacers @ Knicks     ,9:00 AM,10:00 AM,11:00 AM,12:00 PM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,FREE,www.MySportsCal.com,Pacers @ Knicks,Indiana at New York,,Pacers , Knicks
12/2/2012,12/2/2012,NBA: Suns @ Knicks     ,9:00 AM,10:00 AM,11:00 AM,12:00 PM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,FREE,www.MySportsCal.com,Suns @ Knicks,Phoenix at New York,,Suns , Knicks
11/17/2012,11/17/2012,NBA: Raptors @ Celtics     ,9:30 AM,10:30 AM,11:30 AM,12:30 PM,11:30 AM,12:30 PM,1:30 PM,2:30 PM,FREE,www.MySportsCal.com,Raptors @ Celtics,Toronto at Boston,,Raptors , Celtics
